School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,"All Results Received	",Date All Results Received,"School Website	",BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
LA FAYETTE CENTRAL SCHOOL,C GRANT GRIMSHAW SCHOOL,Onondaga,Public School,92,No,0,0,0,92,Yes,9/24/2016,92,0,Yes,Yes,1/11/2017,http://www.lafayetteschools.org,420807040004.00,RT 20 W,LAFAYETTE,NY,13084,10/12/2016,1/18/2017,"(43.065629, -76.168033)","20 W LAFAYETTE
NY 13084
(42.91300926800005, -76.11519869699998)"
BALDWINSVILLE CENTRAL SCHOOL,HARRY E ELDEN ELEM SCHOOL,Onondaga,Public School,51,No,51,0,0,51,Yes,9/27/2016,,,No,No,,http://www.bville.org,420901060002.00,OSWEGO ST,BALDWINSVILLE,NY,13027,1/26/2017,,"(43.065629, -76.168033)","OSWEGO ST BALDWINSVILLE, NY 13027
(43.13338274400007, -76.30891469999995)"
BALDWINSVILLE CENTRAL SCHOOL,CATHERINE M MCNAMARA ELEM SCH,Onondaga,Public School,46,No,46,0,0,46,Yes,9/28/2016,46,0,No,Yes,1/4/2017,http://www.bville.org,420901060003.00,OBRIEN RD,BALDWINSVILLE,NY,13027,1/10/2017,1/10/2017,"(43.065629, -76.168033)","OBRIEN RD BALDWINSVILLE, NY 13027
(43.13338274400007, -76.30891469999995)"
BALDWINSVILLE CENTRAL SCHOOL,L PEARL PALMER ELEM SCHOOL,Onondaga,Public School,53,No,53,0,0,53,Yes,9/27/2016,53,0,No,Yes,1/4/2017,http://www.bville.org,420901060004.00,HICKS RD,BALDWINSVILLE,NY,13027,1/10/2017,1/10/2017,"(43.065629, -76.168033)","HICKS RD BALDWINSVILLE, NY 13027
(43.13338274400007, -76.30891469999995)"
BALDWINSVILLE CENTRAL SCHOOL,VAN BUREN SCHOOL,Onondaga,Public School,49,No,49,0,0,49,Yes,9/29/2016,33,16,Yes,Yes,1/4/2017,http://www.bville.org,420901060005.00,FORD ST,BALDWINSVILLE,NY,13027,1/10/2017,1/10/2017,"(43.065629, -76.168033)","FORD ST BALDWINSVILLE, NY 13027
(43.13338274400007, -76.30891469999995)"
BALDWINSVILLE CENTRAL SCHOOL,THEODORE R DURGEE J H S,Onondaga,Public School,50,No,50,0,0,50,Yes,10/27/2016,48,2,Yes,Yes,1/6/2017,http://www.bville.org,420901060006.00,29 E ONEIDA ST,BALDWINSVILLE,NY,13027,1/10/2017,1/10/2017,"(43.065629, -76.168033)","29 E ONEIDA ST
BALDWINSVILLE, NY 13027
(43.162443401000075, -76.33023614499996)"
BALDWINSVILLE CENTRAL SCHOOL,CHARLES W BAKER H S,Onondaga,Public School,69,No,69,0,0,69,Yes,10/20/2016,69,0,Yes,Yes,1/23/2017,http://www.bville.org,420901060007.00,OSWEGO ST,BALDWINSVILLE,NY,13027,1/26/2017,1/26/2017,"(43.065629, -76.168033)","OSWEGO ST BALDWINSVILLE, NY 13027
(43.13338274400007, -76.30891469999995)"
BALDWINSVILLE CENTRAL SCHOOL,MAE E REYNOLDS SCHOOL,Onondaga,Public School,34,No,31,0,0,31,Yes,9/28/2016,31,3,Yes,Yes,12/9/2016,http://www.bville.org/teacherpage.cfm?teacher=953,420901060008.00,IDLEWOOD BLVD,BALDWINSVILLE,NY,13027,12/16/2016,12/16/2016,"(43.065629, -76.168033)","IDLEWOOD BLVD BALDWINSVILLE, NY 13027
(43.13338274400007, -76.30891469999995)"
BALDWINSVILLE CENTRAL SCHOOL,DONALD S. RAY MIDDLE SCHOOL,Onondaga,Public School,24,No,23,0,0,24,Yes,10/27/2016,23,1,Yes,Yes,12/9/2016,http://www.bville.org/teacherpage.cfm?teacher=953,420901060009.00,7650 VAN BUREN RD,BALDWINSVILLE,NY,13027,12/16/2016,12/16/2016,"(43.065629, -76.168033)","7650 VAN BUREN RD
BALDWINSVILLE, NY 13027
(43.14034199200006, -76.32347693399998)"
FAYVILL-MANLIUS CENT SCH,FAYETTEVILLE ELEM SCHOOL,Onondaga,Public School,93,No,70,0,0,23,Yes,9/27/2016,93,0,Yes,Yes,10/10/2016,http://www.fmschools.org/departments.cfm?subpage=44992,421001060001.00,704 S. MANLIUS ST,FAYETTEVILLE,NY,13066,10/28/2016,10/28/2016,"(43.065629, -76.168033)","704 S MANLIUS ST
FAYETTEVILLE, NY 13066
(43.02281852300007, -75.99957393399995)"
FAYVILL-MANLIUS CENT SCH,FAYETTEVILLE MANLIUS S H S,Onondaga,Public School,302,No,200,0,0,102,Yes,10/28/2016,177,23,Yes,No,,http://www.fmschools.org/departments.cfm?subpage=44992,421001060002.00,8201 E. SENECA TPK.,MANLIUS,NY,13104,11/4/2016,12/7/2016,"(43.065629, -76.168033)","8201 E SENECA TPK
MANLIUS, NY 13104
(43.00671588200004, -75.96155073999995)"
FAYVILL-MANLIUS CENT SCH,EAGLE HILL MIDDLE SCHOOL,Onondaga,Public School,150,No,84,0,0,66,Yes,10/24/2016,84,17,Yes,No,,http://www.fmschools.org/departments.cfm?subpage=44992,421001060005.00,4645 ENDERS RD,MANLIUS,NY,13104,11/4/2016,11/4/2016,"(43.065629, -76.168033)","4645 ENDERS RD
MANLIUS, NY 13104
(42.99718647800006, -75.95555756599998)"
FAYVILL-MANLIUS CENT SCH,WELLWOOD MIDDLE SCHOOL,Onondaga,Public School,148,No,101,0,0,47,Yes,10/19/2016,138,10,Yes,No,,http://www.fmschools.org/departments.cfm?subpage=44992,421001060006.00,700 SOUTH MANLIUS ST,FAYETTEVILLE,NY,13066,11/9/2016,11/9/2016,"(43.065629, -76.168033)","700 SOUTH MANLIUS ST
FAYETTEVILLE, NY 13066
(43.02314990700006, -75.99982686799996)"
FAYVILL-MANLIUS CENT SCH,MOTT ROAD ELEM SCHOOL,Onondaga,Public School,108,No,76,0,0,32,Yes,9/15/2016,103,5,Yes,Yes,10/13/2016,http://www.fmschools.org/departments.cfm?subpage=44992,421001060007.00,7173 MOTT RD,FAYETTVILLE,NY,13066,11/2/2016,11/2/2016,"(43.065629, -76.168033)","7173 MOTT RD
FAYETTVILLE, NY 13066
(43.021616065000046, -76.02681829799997)"
FAYVILL-MANLIUS CENT SCH,ENDERS ROAD ELEM SCHOOL,Onondaga,Public School,101,No,78,0,0,23,Yes,9/9/2016,101,0,Yes,Yes,10/6/2016,http://www.fmschools.org/departments.cfm?subpage=44992,421001060008.00,4725 ENDERS RD,MANLIUS,NY,13104,11/2/2016,11/2/2016,"(43.065629, -76.168033)","4725 ENDERS RD
MANLIUS, NY 13104
(42.999036180000076, -75.95568810599997)"
MARCELLUS CENTRAL SCHOOL,K C HEFFERNAN ELEM SCHOOL,Onondaga,Public School,126,No,72,0,0,52,Yes,9/28/2016,83,6,Yes,Yes,11/14/2016,http://www.marcellusschools.org/teacherpage.cfm?teacher=433,421101060001.00,2 LEARNERS LANDING,MARCELLUS,NY,13108,11/16/2016,12/7/2016,"(43.065629, -76.168033)","2 LEARNERS LANDING
MARCELLUS, NY 13108
(42.98885546500003, -76.34067139899997)"
MARCELLUS CENTRAL SCHOOL,MARCELLUS H S,Onondaga,Public School,56,No,22,0,0,30,Yes,10/28/2016,9,4,Yes,No,,http://www.marcellusschools.org/teacherpage.cfm?teacher=433,421101060003.00,REED PKY,MARCELLUS,NY,13108,11/16/2016,12/7/2016,"(43.065629, -76.168033)","REED PKY MARCELLUS, NY 13108
(42.98253787800007, -76.33953106899997)"
