"","School.x","BEDS","District","County","num.outlets","pbfreeBuildings","samplingComplete","completionDate","outletsOver15","outletsUnder15","oos","street","city","state","address","School.y","short"
"59","K C HEFFERNAN ELEM SCHOOL",421101060001,"MARCELLUS CENTRAL SCHOOL","Onondaga",126,"No","Yes","9/28/2016",83,6,"Yes","2 LEARNERS LANDING","MARCELLUS","NY","2 LEARNERS LANDING, MARCELLUS, NY","K C Heffernan Elementary School","Elementary/Middle"
"60","MARCELLUS H S",421101060003,"MARCELLUS CENTRAL SCHOOL","Onondaga",56,"No","Yes","10/28/2016",9,4,"Yes","REED PKY","MARCELLUS","NY","REED PKY, MARCELLUS, NY","Marcellus High School","High School"
"61","C S DRIVER MIDDLE SCHOOL",421101060004,"MARCELLUS CENTRAL SCHOOL","Onondaga",80,"No","Yes","9/28/2016",97,23,"Yes","REED PKY","MARCELLUS","NY","REED PKY, MARCELLUS, NY","C S Driver Middle School","Elementary/Middle"
"62","C S DRIVER MIDDLE SCHOOL",421101060004,"MARCELLUS CENTRAL SCHOOL","Onondaga",80,"No","Yes","9/28/2016",97,23,"Yes","REED PKY","MARCELLUS","NY","REED PKY, MARCELLUS, NY","C S Driver Middle School","High School"
"63","ROCKWELL ELEM SCHOOL",421201040001,"ONONDAGA CENTRAL SCHOOL","Onondaga",69,"This school has one or more lead-free buildings","Yes","9/29/2016",65,1,"Yes","208 ROCKWELL RD","NEDROW","NY","208 ROCKWELL RD, NEDROW, NY","Rockwell Elementary School","Elementary/Middle"
"64","WHEELER MIDDLE SCHOOL",421201040002,"ONONDAGA CENTRAL SCHOOL","Onondaga",75,"No","Yes","9/29/2016",70,3,"Yes","4543 S ONONDAGA RD","NEDROW","NY","4543 S ONONDAGA RD, NEDROW, NY","Wheeler Elementary School","Elementary/Middle"
"65","ONONDAGA H S",421201040003,"ONONDAGA CENTRAL SCHOOL","Onondaga",66,"This school has one or more lead-free buildings","Yes","10/14/2016",64,0,"Yes","4479 S ONONDAGA RD","NEDROW","NY","4479 S ONONDAGA RD, NEDROW, NY","Onondaga Senior High School","Elementary/Middle"
"66","ONONDAGA H S",421201040003,"ONONDAGA CENTRAL SCHOOL","Onondaga",66,"This school has one or more lead-free buildings","Yes","10/14/2016",64,0,"Yes","4479 S ONONDAGA RD","NEDROW","NY","4479 S ONONDAGA RD, NEDROW, NY","Onondaga Senior High School","High School"
"67","NATE PERRY ELEM. SCHOOL",421501060001,"LIVERPOOL CENTRAL SCHOOL","Onondaga",59,"No","Yes","12/14/2016",59,0,"No","7053 BUCKLEY RD","LIVERPOOL","NY","7053 BUCKLEY RD, LIVERPOOL, NY","Nate Perry Elementary School","Elementary/Middle"
"68","ELMCREST ELEM SCHOOL",421501060004,"LIVERPOOL CENTRAL SCHOOL","Onondaga",66,"No","Yes","12/14/2016",52,14,"Yes","350 WOODS PATH RD","LIVERPOOL","NY","350 WOODS PATH RD, LIVERPOOL, NY","Elmcrest Elementary School","Elementary/Middle"
"69","LIVERPOOL MIDDLE SCHOOL",421501060005,"LIVERPOOL CENTRAL SCHOOL","Onondaga",52,"This school has one or more lead-free buildings","Yes","11/16/2016",52,0,"No","720 SEVENTH ST","LIVERPOOL","NY","720 SEVENTH ST, LIVERPOOL, NY","Liverpool Middle School","Elementary/Middle"
"70","LIVERPOOL ANNEX",421501060006,"LIVERPOOL CENTRAL SCHOOL","Onondaga",56,"No","Yes","12/14/2016",55,1,"Yes","4338 WETZEL RD","LIVERPOOL","NY","4338 WETZEL RD, LIVERPOOL, NY",NA,NA
"71","CHESTNUT HILL ES (for lead survey- CHESTNUT HILL MS @ CHE 2016-17)",421501060009,"LIVERPOOL CENTRAL SCHOOL","Onondaga",58,"No","Yes","11/15/2016",56,2,"Yes","200 SASLON PARK DR","LIVERPOOL","NY","200 SASLON PARK DR, LIVERPOOL, NY","Chestnut Hill Elementary School","Elementary/Middle"
"72","LIVERPOOL ELEMENTARY SCHOOL",421501060010,"LIVERPOOL CENTRAL SCHOOL","Onondaga",40,"No","Yes","11/8/2016",40,0,"No","910 SECOND ST.","LIVERPOOL","NY","910 SECOND ST., LIVERPOOL, NY","Liverpool Elementary School","Elementary/Middle"
"73","LIVERPOOL HIGH SCHOOL",421501060011,"LIVERPOOL CENTRAL SCHOOL","Onondaga",166,"No","Yes","12/13/2016",118,48,"Yes","4338 WETZEL RD","LIVERPOOL","NY","4338 WETZEL RD, LIVERPOOL, NY","Liverpool High School","Elementary/Middle"
"74","LIVERPOOL HIGH SCHOOL",421501060011,"LIVERPOOL CENTRAL SCHOOL","Onondaga",166,"No","Yes","12/13/2016",118,48,"Yes","4338 WETZEL RD","LIVERPOOL","NY","4338 WETZEL RD, LIVERPOOL, NY","Liverpool High School","High School"
"75","MORGAN ROAD ELEMENTARY",421501060012,"LIVERPOOL CENTRAL SCHOOL","Onondaga",22,"No","Yes","1/12/2016",22,0,"No","7795 MORGAN ROAD","LIVERPOOL","NY","7795 MORGAN ROAD, LIVERPOOL, NY","Morgan Road Elementary School","Elementary/Middle"
"76","SOULE ROAD ELEMENTARY",421501060013,"LIVERPOOL CENTRAL SCHOOL","Onondaga",15,"No","Yes","11/15/2016",15,0,"No","8338 SOULE RD","LIVERPOOL","NY","8338 SOULE RD, LIVERPOOL, NY","Soule Road Elementary School","Elementary/Middle"
"77","SOULE ROAD MIDDLE SCHOOL",421501060014,"LIVERPOOL CENTRAL SCHOOL","Onondaga",72,"No","Yes","12/14/2016",72,0,"No","SOULE ROAD MIDDLE SCHOOL","LIVERPOOL","NY","SOULE ROAD MIDDLE SCHOOL, LIVERPOOL, NY","Soule Road Middle School","Elementary/Middle"
"78","LONG BRANCH ELEM SCHOOL",421501060015,"LIVERPOOL CENTRAL SCHOOL","Onondaga",56,"No","Yes","11/15/2016",55,1,"Yes","4035 LONG BRANCH RD","LIVERPOOL","NY","4035 LONG BRANCH RD, LIVERPOOL, NY","Long Branch Elementary School","Elementary/Middle"
"79","DONLIN DRIVE",421501060016,"LIVERPOOL CENTRAL SCHOOL","Onondaga",57,"No","Yes","11/15/2016",57,0,"No","DONLIN DRIVE","LIVERPOOL","NY","DONLIN DRIVE, LIVERPOOL, NY","Donlin Drive Elementary School","Elementary/Middle"
"80","WILLOW FIELD SCHOOL",421501060019,"LIVERPOOL CENTRAL SCHOOL","Onondaga",50,"No","Yes","11/15/2016",50,0,"No","WILLOW FIELD SCHOOL","LIVERPOOL","NY","WILLOW FIELD SCHOOL, LIVERPOOL, NY","Willow Field Elementary School","Elementary/Middle"
"81","LYNCOURT SCHOOL",421504020001,"LYNCOURT UNION FREE SCHOOL","Onondaga",79,"No","Yes","9/16/2016",76,3,"Yes","2707-09 COURT ST","SYRACUSE","NY","2707-09 COURT ST, SYRACUSE, NY","Lyncourt School","Elementary/Middle"
"82","SKANEATELES S H S",421601060002,"SKANEATELES CENTRAL SCHOOL","Onondaga",155,"No","Yes","10/8/2016",112,21,"Yes","49 E ELIZABETH ST","SKANEATELES","NY","49 E ELIZABETH ST, SKANEATELES, NY","Skaneateles Senior High School","High School"
"83","WATERMAN ELEM SCHOOL",421601060003,"SKANEATELES CENTRAL SCHOOL","Onondaga",124,"No","Yes","9/17/2016",68,27,"Yes","EAST ST","SKANEATELES","NY","EAST ST, SKANEATELES, NY","Waterman Elementary School","Elementary/Middle"
"84","STATE STREET INTERMEDIATE SCHOOL",421601060004,"SKANEATELES CENTRAL SCHOOL","Onondaga",83,"No","Yes","9/17/2016",76,7,"Yes","72 STATE ST","SKANEATELES","NY","72 STATE ST, SKANEATELES, NY","State Street Intermediate School","Elementary/Middle"
"85","SKANEATELES MIDDLE SCHOOL",421601060005,"SKANEATELES CENTRAL SCHOOL","Onondaga",96,"No","Yes","10/8/2016",60,16,"Yes","EAST ST","SKANEATELES","NY","EAST ST, SKANEATELES, NY","Skaneateles Middle School","Elementary/Middle"
"86","CLARY MIDDLE SCHOOL",421800010003,"SYRACUSE CITY SCHOOLS","Onondaga",72,"No","Yes","10/14/2016",69,3,"Yes","100 AMIDON DR","SYRACUSE","NY","100 AMIDON DR, SYRACUSE, NY","Clary Middle School","Elementary/Middle"
"87","BELLEVUE SCHOOL",421800010004,"SYRACUSE CITY SCHOOLS","Onondaga",67,"No","Yes","9/21/2016",61,6,"Yes","530 STOLP AVE","SYRACUSE","NY","530 STOLP AVE, SYRACUSE, NY","Bellevue Elementary School","Elementary/Middle"
"88","VAN DUYN SCHOOL",421800010006,"SYRACUSE CITY SCHOOLS","Onondaga",79,"No","Yes","9/24/2016",78,1,"Yes","401 LOOMIS AVE","SYRACUSE","NY","401 LOOMIS AVE, SYRACUSE, NY","Van Duyn Elementary School","Elementary/Middle"
"89","EDWARD SMITH SCHOOL",421800010008,"SYRACUSE CITY SCHOOLS","Onondaga",74,"No","Yes","9/22/2016",64,10,"Yes","LANCASTER AVE+BROAD S","SYRACUSE","NY","LANCASTER AVE+BROAD S, SYRACUSE, NY","Edward Smith K-8 School","Elementary/Middle"
"90","ROBERTS SCHOOL",421800010010,"SYRACUSE CITY SCHOOLS","Onondaga",82,"No","Yes","9/24/2016",81,1,"Yes","715 GLENWOOD AVE","SYRACUSE","NY","715 GLENWOOD AVE, SYRACUSE, NY","Roberts K-8 School","Elementary/Middle"
"91","MEACHEM SCHOOL",421800010011,"SYRACUSE CITY SCHOOLS","Onondaga",82,"No","Yes","9/27/2016",79,3,"Yes","171 SPAULDING AVE","SYRACUSE","NY","171 SPAULDING AVE, SYRACUSE, NY","Meachem Elementary School","Elementary/Middle"
"92","LEMOYNE SCHOOL",421800010012,"SYRACUSE CITY SCHOOLS","Onondaga",61,"No","Yes","9/17/2016",60,1,"Yes","1528 LEMOYNE AVE","SYRACUSE","NY","1528 LEMOYNE AVE, SYRACUSE, NY","Lemoyne Elementary School","Elementary/Middle"
"93","SALEM HYDE SCHOOL",421800010013,"SYRACUSE CITY SCHOOLS","Onondaga",69,"No","Yes","9/17/2016",66,3,"Yes","450 DURSTON AVE","SYRACUSE","NY","450 DURSTON AVE, SYRACUSE, NY","Salem Hyde Elementary School","Elementary/Middle"
